	name	city	fulladdress	lat	long	location	cityalias	display_address	pincode	storemap_link	store_status
9000449	INNORIC ENTERPRISES	Gorakhpur	Peter England Showroom Unit no.1A, Upper Ground floor, 'AD Mall' , Situated at Vijay Chowk, Bank Road, Gorakhpur, Uttar Pradesh - 273001.	26.7564° N	83.3668° E	26.7564° N,83.3668° E	Gorakhpur	Peter England Showroom Unit no.1A, Upper Ground floor, 'AD Mall' , Situated at Vijay Chowk, Bank Road, Gorakhpur, Uttar Pradesh - 273001.	273001		
9000458	M/S DHARMLOK COLLECTION	Agra	Peter England showroom #42,near kargil petrol pump, shastripuram road, Awadhpuri, Agra Dist.Uttar Pradesh - 282007.	27.203193	77.952136	27.203193,77.952136	Agra	Peter England showroom #42,near kargil petrol pump, shastripuram road, Awadhpuri, Agra Dist.Uttar Pradesh - 282007.	282007		
9000459	M/S DHARMLOK COLLECTION	Agra	Peter England Showroom. 49, Gopi Chand Shivehare Marg, Opp. SBI Bank, Sadar Bazar, Agra, Uttar Pradesh - 282001.	27.160224	78.011792	27.160224,78.011792	Agra	Peter England Showroom. 49, Gopi Chand Shivehare Marg, Opp. SBI Bank, Sadar Bazar, Agra, Uttar Pradesh - 282001.	282001		
9000346	THE BOMBAY STORES	RATNAGIRI	TRP, At Post Nachane (Near Amber Mall), Ratnagiri - 415612	16.9958644	73.3365322	16.9958644,73.3365322	RATNAGIRI	TRP, At Post Nachane (Near Amber Mall), Ratnagiri - 415612	415612		
9000426	M/S YUVA LIFE STYLE	Jaunpur	Opp.Sunder Gurudwara,Olandganj, Jaunpur, Uttar Pradesh, 222002	25.7456018	82.6840838	25.7456018,82.6840838	Jaunpur	Opp.Sunder Gurudwara,Olandganj, Jaunpur, Uttar Pradesh, 222002	222002		
9000428	TEX INDIA RED	Hathras	Plot no.190, Aligarh Road,, Hathras, Uttar Pradesh, 204101	27.61077011	78.05486017	27.61077011,78.05486017	Hathras	Plot no.190, Aligarh Road,, Hathras, Uttar Pradesh, 204101	204101		
9000443	SAI KRIPA ASSOCIATION	Pratapgarh	Sahodpur,Sneh Bhawan, West Babaganj, Pratapgarh, Uttar Pradesh, 230143	25.91775	82.0003835	25.91775,82.0003835	Pratapgarh	Sahodpur,Sneh Bhawan, West Babaganj, Pratapgarh, Uttar Pradesh, 230143	230143		
9000457	M/S SHREE SHREE GARMENTS	Rae bareli	Near ICICI Bank , Kutchery road,, Rae bareli, Uttar Pradesh, 229001	26.2249038	81.2401709	26.2249038,81.2401709	Rae bareli	Near ICICI Bank , Kutchery road,, Rae bareli, Uttar Pradesh, 229001	229001		
9000464	M/S DHARMLOK COLLECTION	Agra	29/296B, MG Road,Labh Chand Market, Agra, Uttar Pradesh, 282002	27.1892818	78.0011232	27.1892818,78.0011232	Agra	29/296B, MG Road,Labh Chand Market, Agra, Uttar Pradesh, 282002	282002		
9000465	EPISODE F & L	VATAKARA	9/2164,B,C,9/2165,9/2167,9/2168, 9/2169, 9/2170,9/2171,9/21672,OASIS TRADE CENTER, LINK ROAD JUNCTION, NH - BYPASS, VATAKARA, CALICUT(DIST) Pin:673104	11.0595	75.590591	11.0595,75.590591	VATAKARA	9/2164,B,C,9/2165,9/2167,9/2168, 9/2169, 9/2170,9/2171,9/21672,OASIS TRADE CENTER, LINK ROAD JUNCTION, NH - BYPASS, VATAKARA, CALICUT(DIST) Pin:673104	673104		
9000429	M/S SAKET DRESSES	Ranchi	G.E.L.Church Complex, plot no.793,Municipal holding, Shop no.20,second floor , no.763/D Ward no.5/A to New ward no.14A Situated at village- konka, P.S.-Lower B, P.S.No.198,Main road,Ranchi, 834001,Jharkhand, INDIA	23.358399	85.32537	23.358399,85.32537	Ranchi	G.E.L.Church Complex, plot no.793,Municipal holding, Shop no.20,second floor , no.763/D Ward no.5/A to New ward no.14A Situated at village- konka, P.S.-Lower B, P.S.No.198,Main road,Ranchi, 834001,Jharkhand, INDIA	834001		
9000456	YATHARTH ENTERPRISES	Lucknow	Munshipulia Indra Nagar, LGF-5 , Ghanshyam palace, Sector -16, 226016, Lucknow,  Uttar Pradesh	26.885689	80.991965	26.885689,80.991965	Lucknow	Munshipulia Indra Nagar, LGF-5 , Ghanshyam palace, Sector -16, 226016, Lucknow,  Uttar Pradesh	226016		
9000462	M/S NEW KAY SONS	Dehradun	Paltan Bazar, 55/40 ( Old no.40/26 & Old no.24/3), Dehradun, 248001, Uttarakhand	30.322957	78.040311	30.322957,78.040311	Dehradun	Paltan Bazar, 55/40 ( Old no.40/26 & Old no.24/3), Dehradun, 248001, Uttarakhand	248001		
9000420	M/S MAA KALI ENTERPRISES	Sultanpur	Peter England Store, 256, Civil Line 1, Bus Stand , Sultanpur, Uttar Pradesh, 228001 	26.266008	82.074029	26.266008,82.074029	Sultanpur	Peter England Store, 256, Civil Line 1, Bus Stand , Sultanpur, Uttar Pradesh, 228001 	228001		
9000481	DOWN TOWN MENS WORLD	Ernakulam	PETER ENGLAND SHOWROOM,Ground And First Floor, XX/418 A, Johns Enclave, B H S Road, Tripunithura, Ernakulam, Kerala, 682301	9.9428	76.34676	9.9428,76.34676	Ernakulam	PETER ENGLAND SHOWROOM,Ground And First Floor, XX/418 A, Johns Enclave, B H S Road, Tripunithura, Ernakulam, Kerala, 682301	682301		
9000486	OBERON TRADE VENTURES	Edappally	PETER ENGLAND SHOWROOM,Shop no.41 / 358,on Ground floor, Oberon Mall, Edappally , Ernakulam, Kerala - 682024	10.0146	76.3123	10.0146,76.3123	Edappally	PETER ENGLAND SHOWROOM,Shop no.41 / 358,on Ground floor, Oberon Mall, Edappally , Ernakulam, Kerala - 682024	682024		
9000473	AARKAY INNOVATIONS LIMITED	PATIALA	PETER ENGLAND SHOWROOM,SCF- 4 , Bhupindera road Patiala, Punjab 147001	30.344208	76.376932	30.344208,76.376932	PATIALA	PETER ENGLAND SHOWROOM,SCF- 4 , Bhupindera road Patiala, Punjab 147001	147001		
9000483	KAYPEES COLLECTIONS	Kanhangad	PETER ENGLAND SHOWROOM,Mall of India, Kanhangad, Opp. Nursing Home, kanhangad , Kasargod, Kerala - 671531.	12.3189	75.0876	12.3189,75.0876	Kanhangad	PETER ENGLAND SHOWROOM,Mall of India, Kanhangad, Opp. Nursing Home, kanhangad , Kasargod, Kerala - 671531.	671531		
9000485	MEETHAL FASHIONS	Kerala	PETER ENGLAND SHOWROOM,Building bearing no.2/242/B2, Ground floor,Situated at Tirur, AAK Mall,Naduvilangadi, Tirur - Tanur road, Pookayil Bazar P.O, Malappuram Dist. Tirur Kerala -676107.	12.1116	75.21	12.1116,75.21	Kerala	PETER ENGLAND SHOWROOM,Building bearing no.2/242/B2, Ground floor,Situated at Tirur, AAK Mall,Naduvilangadi, Tirur - Tanur road, Pookayil Bazar P.O, Malappuram Dist. Tirur Kerala -676107.	676107		
9000484	MEETHAL FASHIONS	Kerala	PETER ENGLAND SHOWROOM,Ground floor,PMC 18/1662,1663 , A10, A11,Payyannur Mall , Govt.Hospital road, Payyannur, Kannur Kerala - 670307.	10.9188	75.9177	10.9188,75.9177	Kerala	PETER ENGLAND SHOWROOM,Ground floor,PMC 18/1662,1663 , A10, A11,Payyannur Mall , Govt.Hospital road, Payyannur, Kannur Kerala - 670307.	670307		
101155	Dhanvaipet Rd, Rajahmundry	Rajamundhry	H No:40-7-39/3, Gr Flr,Opp Gandhi Park,Dhanvaipet main road,Rajahmundry - 533101                 	17.0067809	81.7823223	17.0067809,81.7823223	Rajamundhry	H No:40-7-39/3, Gr Flr,Opp Gandhi Park,Dhanvaipet main road,Rajahmundry - 533101                 	533101		
100347	Lindsay Street, Kolkata	Kolkata	No.28, Lindsay Street, Kolkata - 700 087.	22.5597	88.3511	22.5597,88.3511	Kolkata	No.28, Lindsay Street, Kolkata - 700 087.	700 087		
103568	HRBR Kammanahalli, Bangalore	Bangalore	Gr.Flr # 406/4 M, 4th Main Road (Kammanahalli Main Road), HRBR Second Block, Kalyan Nagar, Bangalore - 560 043.	130127.9	773812.6	130127.9,773812.6	Bangalore	Gr.Flr # 406/4 M, 4th Main Road (Kammanahalli Main Road), HRBR Second Block, Kalyan Nagar, Bangalore - 560 043.	560 043		
102486	PVP Mall, Vijayawada	Vijayawada	Unit no.GF-44-45 Ground Floor, PVP Mall, MG Road,  Vijayawada 520010	16.5025662	80.6428427	16.5025662,80.6428427	Vijayawada	Unit no.GF-44-45 Ground Floor, PVP Mall, MG Road,  Vijayawada 520010	520010		
102107	Mall Of India, Noida	Noida	D 12C, Mall of India, Plot no. M03, Sector 18, Noida - 201304	28.567471	77.321565	28.567471,77.321565	Noida	D 12C, Mall of India, Plot no. M03, Sector 18, Noida - 201304	201304		
103148	Tilak Road, Pune	Pune	No.1,2 & 3, Ground Floor, Shivnandan Co-op Housing Society, Sadashiv Peth, Tal, Pune - 411030	18.5026	73.85868	18.5026,73.85868	Pune	No.1,2 & 3, Ground Floor, Shivnandan Co-op Housing Society, Sadashiv Peth, Tal, Pune - 411030	411030		
102999	WSM Ghaziabad	Ghaziabad	# 14, GF, World Square Mall, Mohan Nagar, Ghaziabad - 201004.	28.679803	77.382108	28.679803,77.382108	Ghaziabad	# 14, GF, World Square Mall, Mohan Nagar, Ghaziabad - 201004.	201004		
102824	Forum Vijaya Mall,  Chennai	Chennai	Shop no. 123, First Floor, Forum Vijaya Mall, 183, NSK Salai, Vadapalani, Chennai - 600026.	13.049768	80.209437	13.049768,80.209437	Chennai	Shop no. 123, First Floor, Forum Vijaya Mall, 183, NSK Salai, Vadapalani, Chennai - 600026.	600026		
102762	Ghosh Para Main Road	Barrackpore	Peter England Shoroom,  # 17(15 / 1) Ghosh para main road, Beside Trends, Barrackpore, KOLKATA, West Bengal-700120	22.7620163	88.3701655	22.7620163,88.3701655	Barrackpore	Peter England Shoroom,  # 17(15 / 1) Ghosh para main road, Beside Trends, Barrackpore, KOLKATA, West Bengal-700120	700120		
101072	Church Rd, Agra	Agra	Shop no. 2 & 3, Shanti Mall, Church Road, Ram Nagar Colony, Agra - 282 002.	27.202682	78.002682	27.202682,78.002682	Agra	Shop no. 2 & 3, Shanti Mall, Church Road, Ram Nagar Colony, Agra - 282 002.	282 002		
103377	Kamarajar St, Kancheepuram	Kanchipuram	63B, Kamarajar Salai, Kanchipuram - 631501.	38.63263	90.19304	38.63263,90.19304	Kanchipuram	63B, Kamarajar Salai, Kanchipuram - 631501.	631501		
103721	BTM 2Nd Stage, Bangalore	Bangalore	Site No. 804, 7th Cross, 15th Main, BTM 2nd Stage, Bangalore  - 560076	125450.1	773632.7	125450.1,773632.7	Bangalore	Site No. 804, 7th Cross, 15th Main, BTM 2nd Stage, Bangalore  - 560076	560076		
102563	HSR -Sec 1, Bangalore	Bangalore	No 354/428, 27th Main, Hosur Sarjapur Road(Agara), Sector 1, Extension, Bangalore - 560102.	125503.4	773906	125503.4,773906	Bangalore	No 354/428, 27th Main, Hosur Sarjapur Road(Agara), Sector 1, Extension, Bangalore - 560102.	560102		
102695	Hirachand Rd-Ghatkopar2, Mumbai	Mumbai	Shop No. 4, Chandra Pushpa Building, Opp. New Post Office, Hirachand Desai Road, Ghatkopar (west), Mumbai - 400086	72.9077	19.0908	72.9077,19.0908	Mumbai	Shop No. 4, Chandra Pushpa Building, Opp. New Post Office, Hirachand Desai Road, Ghatkopar (west), Mumbai - 400086	400086		
101595	Kanth Rd-Pili Kothi, Moradabad	Moradabad	No.20, Civil Lines, Kanth Road, Near Pili, Kothi, Moradabad - 244001	28°50'45.8"N	78°45'52.0"E	28°50'45.8"N,78°45'52.0"E	Moradabad	No.20, Civil Lines, Kanth Road, Near Pili, Kothi, Moradabad - 244001	244001		
101727	Sakchi, Jamshedpur	Jamshedpur	# 104, S N P Area, Near Bengal Club, Avishkar Building, GF, Sakchi, Jamshedpur - 831001.	24.4744	75.1365	24.4744,75.1365	Jamshedpur	# 104, S N P Area, Near Bengal Club, Avishkar Building, GF, Sakchi, Jamshedpur - 831001.	831001		
102743	Srinivasa Pillai Rd, Thanjavur	Thanjavur	No,2885,Srinivasa Pillai Road, Thanjavur-613001	10.77885	79.1639	10.77885,79.1639	Thanjavur	No,2885,Srinivasa Pillai Road, Thanjavur-613001	613001		
101550	Bhalej Rd, Anand	Anand	Shop NO. 4, Ramsikhar Complex, Bhalej Road, Anand - Gujarat - 388001	22.56558	72.96135	22.56558,72.96135	Anand	Shop NO. 4, Ramsikhar Complex, Bhalej Road, Anand - Gujarat - 388001	388001		
101578	Annapurna-Ranjit H Rd, Indore	Indore	Plot No. 211, Ranjit Hanuman Raod, Usha Nagar Main, Near Mhow Naka, Indore - 452001. (Madhya Pradesh)	22.703988	75.842268	22.703988,75.842268	Indore	Plot No. 211, Ranjit Hanuman Raod, Usha Nagar Main, Near Mhow Naka, Indore - 452001. (Madhya Pradesh)	452001		
101772	Ram Mandir, Sangli	Sangli	No. 7 to 11, GF Shreeram Plaza, Ram Mandir Corner, Opp. Ram Mandir, Sangli - 416416.	23.7876	86.4176	23.7876,86.4176	Sangli	No. 7 to 11, GF Shreeram Plaza, Ram Mandir Corner, Opp. Ram Mandir, Sangli - 416416.	416416		
100666	Subhash Rd, Kakinada	Kakinada	D.No. 20-1-5, Sri Complex, Subhash Road, Kakinada Main Road, Kakinada - 533 005.	16.9543957	82.2347481	16.9543957,82.2347481	Kakinada	D.No. 20-1-5, Sri Complex, Subhash Road, Kakinada Main Road, Kakinada - 533 005.	533 005		
103298	Laxmi Road, Pune	Pune	#691, Narayan Peth, Opp.Nu MA VI School, Appa Balwant Chowk, Pune - 411030.            	20.2914851	85.856036	20.2914851,85.856036	Pune	#691, Narayan Peth, Opp.Nu MA VI School, Appa Balwant Chowk, Pune - 411030.            	411030		
103237	Paldi, Ahmedabad	Ahmedabad	Bhikhu Bhai Chamber, Nr Kocharab Ashram, Paldi, Ahmedabad - 380006.	23.01293	72.55579	23.01293,72.55579	Ahmedabad	Bhikhu Bhai Chamber, Nr Kocharab Ashram, Paldi, Ahmedabad - 380006.	380006		
103149	Natwar Talkies, Jalgaon	Jalgaon	Shop Number. 199 ,Nr.Nath Plaza, MG Road, Navi Peth ,Jalgaon - 425001,Maharastra	21.01528	75.56521	21.01528,75.56521	Jalgaon	Shop Number. 199 ,Nr.Nath Plaza, MG Road, Navi Peth ,Jalgaon - 425001,Maharastra	425001		
103854	City Centre Mall, Mangalore	Mangalore	Shop No. FF 19 & 20, First Floor, KS Rao Road, City Centre Mall, Mangalore - 575 001.	125220.4	745039.5	125220.4,745039.5	Mangalore	Shop No. FF 19 & 20, First Floor, KS Rao Road, City Centre Mall, Mangalore - 575 001.	575 001		
100851	VCC Mall, Allahabad	Allahabad	Shop No. 14 and 15,   First Floor, VCC Mall,  Allahabad - 211 001	25°27'16.6"N	81°50'04.3"E	25°27'16.6"N,81°50'04.3"E	Allahabad	Shop No. 14 and 15,   First Floor, VCC Mall,  Allahabad - 211 001	211 001		
103074	Abad Nucleus Mall, Cochin	Cochin	Shop No.3, GF, ABAD Nucleus Mall, Madurai, NH 49, Off Kundannor Jn, Ernakulam, k- 682 304	9°56'23.1"N	76°19'52.0"E	9°56'23.1"N,76°19'52.0"E	Cochin	Shop No.3, GF, ABAD Nucleus Mall, Madurai, NH 49, Off Kundannor Jn, Ernakulam, k- 682 304	682304		
103001	New - V3S Mall, Delhi	Delhi	Shop No.G 42, 43 & 44, V3S Mall, Vikas Marg, Laxmi Nagar, New Delhi - 110 092.	28.63783	77.286782	28.63783,77.286782	Delhi	Shop No.G 42, 43 & 44, V3S Mall, Vikas Marg, Laxmi Nagar, New Delhi - 110 092.	110 092		
